epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1814,1.54043,3.47732,1.46873,0.45605,0.36458,0.33907,0.16641,1.85615,3.45554,1.88393,0.000654545,0.000654545,0.000654545
2,83.226,1.80747,2.06352,1.67952,0.06731,0.2,0.0344,0.01309,2.35131,7.09607,2.93829,0.00129505,0.00129505,0.00129505
3,107.551,1.88391,2.06187,1.76581,0.00214,0.20417,0.00133,0.00053,3.27195,152.708,3.89635,0.00190916,0.00190916,0.00190916
4,131.463,1.89865,2.08288,1.77697,0.05753,0.01875,0.00531,0.0022,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,156.414,1.87628,1.99193,1.75216,0.29242,0.18542,0.15814,0.06849,2.17983,5.71405,2.15808,0.0018416,0.0018416,0.0018416
6,181.352,1.76786,1.89222,1.67057,0.31364,0.24792,0.17814,0.08373,2.43143,3.07482,2.17381,0.001802,0.001802,0.001802
7,205.464,1.74115,1.84561,1.64948,0.50273,0.35833,0.35548,0.18058,1.92826,2.10256,1.77223,0.0017624,0.0017624,0.0017624
8,230.259,1.69827,1.77959,1.62135,0.51715,0.42917,0.42221,0.1986,1.88913,1.856,1.76475,0.0017228,0.0017228,0.0017228
9,254.72,1.67213,1.70406,1.60543,0.50035,0.32708,0.33599,0.16932,1.89497,2.41849,1.75514,0.0016832,0.0016832,0.0016832
10,277.946,1.6873,1.69574,1.58516,0.53058,0.2625,0.29501,0.1567,2.04542,2.51616,1.92335,0.0016436,0.0016436,0.0016436
11,302.673,1.59108,1.62695,1.53581,0.62783,0.46667,0.51066,0.26511,1.67895,1.77269,1.53435,0.001604,0.001604,0.001604
12,326.817,1.5808,1.62805,1.53961,0.5945,0.49785,0.50895,0.27383,1.65991,1.55873,1.55058,0.0015644,0.0015644,0.0015644
13,351.229,1.55191,1.49687,1.48998,0.73286,0.4625,0.55187,0.31763,1.58057,1.39631,1.45152,0.0015248,0.0015248,0.0015248
14,375.495,1.48652,1.48065,1.48,0.75623,0.475,0.563,0.32686,1.61655,1.34374,1.47631,0.0014852,0.0014852,0.0014852
15,399.682,1.48706,1.42766,1.45653,0.62303,0.54167,0.57132,0.30614,1.62473,1.32588,1.48706,0.0014456,0.0014456,0.0014456
16,424.495,1.46349,1.41791,1.45588,0.69042,0.51042,0.55591,0.32323,1.56075,1.4378,1.46861,0.001406,0.001406,0.001406
17,447.78,1.44853,1.33259,1.41559,0.67819,0.53958,0.61109,0.34763,1.54497,1.25763,1.4406,0.0013664,0.0013664,0.0013664
18,472.096,1.42758,1.36618,1.41124,0.77801,0.53125,0.63698,0.37315,1.50979,1.12358,1.41452,0.0013268,0.0013268,0.0013268
19,496.889,1.40359,1.30566,1.38382,0.70638,0.49792,0.57949,0.32962,1.57638,1.36295,1.48293,0.0012872,0.0012872,0.0012872
20,521.052,1.33823,1.27249,1.39479,0.70469,0.5568,0.62373,0.36269,1.55677,1.18611,1.45235,0.0012476,0.0012476,0.0012476
21,545.643,1.36375,1.24153,1.39478,0.68928,0.54997,0.6152,0.35382,1.45259,1.22336,1.38384,0.001208,0.001208,0.001208
22,570.123,1.34751,1.23252,1.35394,0.69922,0.56875,0.63254,0.36119,1.5295,1.20123,1.40328,0.0011684,0.0011684,0.0011684
23,595.038,1.30153,1.17243,1.34603,0.73263,0.58227,0.665,0.38622,1.48537,1.12683,1.41098,0.0011288,0.0011288,0.0011288
24,619.328,1.33419,1.15344,1.32714,0.73828,0.54792,0.62111,0.35333,1.49384,1.1425,1.41559,0.0010892,0.0010892,0.0010892
25,642.762,1.29238,1.14619,1.32735,0.75961,0.59375,0.66172,0.39991,1.40241,1.08375,1.36848,0.0010496,0.0010496,0.0010496
26,667.671,1.29018,1.1472,1.3242,0.81299,0.54342,0.66018,0.39556,1.42621,1.07177,1.38488,0.00101,0.00101,0.00101
27,692.334,1.27693,1.12496,1.31389,0.68571,0.60625,0.6528,0.38614,1.41636,1.11008,1.34714,0.0009704,0.0009704,0.0009704
28,716.776,1.26095,1.07844,1.28973,0.78172,0.57292,0.6735,0.40309,1.41906,1.08878,1.34579,0.0009308,0.0009308,0.0009308
29,740.989,1.23456,1.07616,1.28035,0.83087,0.60833,0.71232,0.43343,1.38493,0.97207,1.32248,0.0008912,0.0008912,0.0008912
30,765.423,1.22109,1.07734,1.27057,0.78429,0.59375,0.67579,0.42442,1.36921,1.00345,1.31624,0.0008516,0.0008516,0.0008516
31,790.097,1.16012,0.98986,1.24198,0.73849,0.62362,0.69017,0.43955,1.33867,0.99151,1.30522,0.000812,0.000812,0.000812
32,813.653,1.20139,1.01683,1.27681,0.76314,0.59067,0.68119,0.43523,1.33375,0.98177,1.31679,0.0007724,0.0007724,0.0007724
33,838.743,1.1947,1.0022,1.26327,0.86192,0.58521,0.70106,0.43008,1.34504,0.96871,1.30072,0.0007328,0.0007328,0.0007328
34,862.927,1.16404,0.93089,1.22177,0.79863,0.6375,0.72466,0.46299,1.30551,0.92065,1.28145,0.0006932,0.0006932,0.0006932
35,887.569,1.17066,0.92848,1.23481,0.81625,0.61081,0.69732,0.45693,1.26845,0.90939,1.26198,0.0006536,0.0006536,0.0006536
36,911.726,1.14888,0.9158,1.22426,0.79881,0.6121,0.696,0.44976,1.31212,0.90735,1.27327,0.000614,0.000614,0.000614
37,935.979,1.12705,0.9162,1.20948,0.78626,0.63609,0.73061,0.45838,1.29319,0.9128,1.26045,0.0005744,0.0005744,0.0005744
38,960.689,1.11285,0.90296,1.20986,0.79946,0.6625,0.73038,0.47333,1.25999,0.87516,1.26419,0.0005348,0.0005348,0.0005348
39,984.761,1.12683,0.89243,1.21223,0.77673,0.64375,0.71802,0.45592,1.28317,0.87579,1.26423,0.0004952,0.0004952,0.0004952
40,1008.93,1.08175,0.85389,1.17792,0.88681,0.60833,0.72607,0.4665,1.27815,0.84263,1.29392,0.0004556,0.0004556,0.0004556
41,1036.22,0.98036,0.76559,1.12696,0.84145,0.60809,0.70412,0.45121,1.29513,0.90055,1.28921,0.000416,0.000416,0.000416
42,1060.15,0.94952,0.67741,1.09973,0.81379,0.64643,0.73125,0.4787,1.25389,0.88981,1.26783,0.0003764,0.0003764,0.0003764
43,1084.09,0.9381,0.64519,1.10591,0.89206,0.60259,0.74322,0.47434,1.28257,0.86788,1.26778,0.0003368,0.0003368,0.0003368
44,1107.62,0.9223,0.62751,1.08791,0.83037,0.65268,0.73996,0.48217,1.26253,0.81852,1.25944,0.0002972,0.0002972,0.0002972
45,1131.75,0.89269,0.60025,1.07279,0.84805,0.66667,0.74377,0.48655,1.25092,0.79545,1.26518,0.0002576,0.0002576,0.0002576
46,1155.84,0.86941,0.57278,1.06443,0.83263,0.6426,0.74311,0.4935,1.22606,0.81429,1.24553,0.000218,0.000218,0.000218
47,1179.31,0.89705,0.58783,1.07836,0.84941,0.63542,0.75505,0.49305,1.2214,0.79111,1.24805,0.0001784,0.0001784,0.0001784
48,1203.57,0.88971,0.5682,1.06159,0.85499,0.6142,0.72614,0.49322,1.20557,0.81803,1.23106,0.0001388,0.0001388,0.0001388
49,1227.69,0.84896,0.54595,1.02956,0.86222,0.62083,0.72758,0.48555,1.22651,0.8181,1.24706,9.92e-05,9.92e-05,9.92e-05
50,1251.74,0.8352,0.54136,1.03681,0.84811,0.62917,0.73239,0.49159,1.21462,0.7967,1.24035,5.96e-05,5.96e-05,5.96e-05
